doc#1501	It < brought >  in  $  400  , MUCH MUCH more than I could ever have given (even if I wasn't broke). 
doc#2197	Last year, the authority < brought >  in  $  78  million in such advertising. 
doc#8283	Incidentally, your estimate's off a bit: IDC research guessed last week that the worldwide market would < bring >  in  $  1700  billion (1100UKP billion) in *three* years time. 
doc#17629	Within 3 years, my law firm was < bringing >  in  a  million  dollars a year of revenue. 
doc#22758	And astonishingly, the top 50% of American earners < brought >  in    88  % of income dollars, but paid 97% of all income taxes in this country. 
doc#23031	For instance, only on September 26, 27 and 28, 1696 the sale of pike < brought >  in    1258  złoty , whitefish – 338 złotych , and tench 24 złotych. 
doc#24479	The Ides of March , the latest George Clooney vehicle, did a pretty good job of holding on, falling 28.4% to < bring >  in  $  7.5  million, bringing its domestic total for two weeks to $22.1 million. 
doc#24479	Wrapping up the top five was Dolphin Tale which slipped a further 30.2% to < bring >  in  $  6.3  million. 
doc#24479	Dolphin Tale slipped 34.2% to land in third, < bringing >  in  $  9.16  million. 
doc#27180	Once this program is fully funded, it will < bring >  in  $  17,600  a year! 
doc#29534	How do we determine what the differences are between an Adsense strategy that makes you pennies a day and one that < brings >  in    100  's of dollars in Adsense revenue? 
doc#30419	A poultry and egg sale, the 4th in the nation, is the number one revenue producer, < bringing >  in  $  2  billion annually. 
doc#32574	This year’s proposal is to < bring >  in    one  or two experts on the emerging Web 2.0 technology and how it is being applied in healthcare related educational and clinical settings to improve the productivity of professional and clinical staff. 
doc#42222	Tuesday’s debut < brought >  in  $  11.6  million, by far the biggest take in any overseas market. 
doc#43676	Impressionist works held up well, with the Monet selling for nearly $6.3 million–twice the price it < brought >  in    2004  . 
doc#43676	On Tuesday, the long-lost treasure trove of Renoirs, Cezannes, Degas, Gauguins and Picassos < brought >  in  €  3.5  million ($4.3 million) at auction in Paris. 
doc#50801	After two weeks, I am < bringing >  in  over  100  a day and I have only applied three of the principles in the book so far. 
doc#55637	The government itself looked confident too, and it went to the markets to raise funds, < bringing >  in  $  2  bn in Islamic bonds last month. 
doc#56059	Singer did just that, in McCosh 10, and by the time Kallop and Wachtell graduated, the group was < bringing >  in  $  6,000  a year, the most of any of UNICEF’s 65 American campus chapters. 
doc#59188	The whole event is expected to < bring >  in  over  120  million dollars to Indianapolis. 
doc#65730	That’s a really nice income to have but when you’re lucky to < bring >  in  $  500  a month and design work is slipping – it’s really hard to keep on top of things. 
doc#72575	Tourism is Hawaii’s number one industry and < brings >  in  $  12  billion annually. 
doc#78111	At the end of the last Republic it was owned by the village head for the King and < brought >  in    317  Polish zloty each quarter. 
doc#79337	Rep. Joe Barton (R-Texas) ranks highly among recipients of oil and gas funding both throughout his career and during the current election cycle, < bringing >  in  $  145,600  during the 2010 election cycle and $1.7 million since the 1990 election cycle. 
