doc#377	The fire < died down > and the mosquitoes picked up. 
doc#2437	The storm has ceased, the winds have < died down >, and it is once again time to eat and be satisfied. 
doc#2691	As the applause < died down > Eslami spoke to the crowd, “This was not a win for us. 
doc#2768	Miraculously, as the sun came up, the rain stopped, and the wind < died down >. 
doc#3471	And then when all the fuss has < died down > and we’ve got bored taking their photos, the Chief Super will be replaced by another Chief Super who says, yeah take their cameras if you want to. 
doc#5147	Some of the press interest in targeting women voters appears to have < died down > some in the weeks since Hillary Clinton's exit from the race. 
doc#5360	In the world of resistance activism, creating political events full of high energy and drama is a lot of work, and when these “fruiting bodies” < die down >, nothing’s left. 
doc#6624	In cases of emergency, well-shielded areas that can sustain life for a few days until the particles < die down > can work as shelter from unusual powerful solar flares. 
doc#8970	He essentially said that if I was a good boy, once all this had < died down > they would take another serious look at reverse speech and do something with it. 
doc#9546	It is collected in the autumn after the fruit is formed and the leaves have < died down >, then cut into pieces and dried. 
doc#9567	Now that much of the fuss has < died down >, and the validity of the new species has been established apparently to the satisfaction of most paleoanthropologists, it has become possible to discuss its affinities soberly. 
doc#11705	Most times you mention urban planning here, you have to wait for the giggles to < die down >. 
doc#12740	After a few minutes, though, the furor < died down >. 
doc#12767	The epidemic has a steep infection curve, which < dies down > by about day 15, by which time, only 10% of the population has never been infected. 
doc#13973	If you want to plant it, easiest way is to gather a handful of the seeds from a plant < dying down > in the fall. 
doc#14830	The weakened Japanese Navy did not attempt any major run of the blockade, and both sides waited for the daunting weather to < die down >. 
doc#16595	Initially, I sat back and waited for the spending spree to < die down >. 
doc#16778	Lotion fixes this, but then it takes sev­eral min­utes for the greasi­ness to < die down >. 
doc#18491	But fame, once hot and heavy, gradually < died down >. 
doc#18676	Magnetic fields do not interact with a neutral atmosphere, and thus atmospheric activity < dies down > and the corona disappears. 
doc#20364	For the variation in human affairs is generally brought into them, not by life, but by death; by the < dying down > or breaking off of their strength or desire. 
doc#21187	There was a strong fan community for Tolkien before the movies and after the movie hype < dies down >, there will continue to be fans of all ages who are not just there to scream over a cute actor. 
doc#22121	It clearly was the week's work with Maestro Masur who imparted to them musical as well as contextual insights that are bound to remain with them long after the applause has < died down >. 
doc#22584	I also wonder what is going to happen when this < dies down >. 
doc#24747	The ruckus has hardly < died down >, yet historians of nineteenth-century America are once again being tapped by newspaper opinion pages, this time to commemorate the 150th anniversary of the Civil War. 
doc#25440	Now that the crowds have < died down > a bit, I took a Saturday morning stroll to the new AGO to see if all the gushing that’s been going on around town is really merited. 
doc#27300	The combination of a dry adiabatic lapse rate in the lower levels and a downsloping wind continues to propel wind speeds higher until the pressure gradient slackens as the trough pulls away, then as the diurnal mixing < dies down >, that will also help to quiet the wind somewhat. 
doc#30182	Things between Siena and Firenze had < died down >. 
doc#30823	The Lame Gift Swap is a tradition I started with my close friends a few years back as a excuse to gather after the craziness of the holidays < dies down >. 
doc#32438	Finally, the Soviet press analyst noted that Western press coverage had < died down > considerably within a few days of the flight, as Gagarin and his feat were pushed to the back of the newspapers’ news sections. 
doc#36592	The Commander waited just a moment for the sound level to < die down >, "This is a threat to the entire planet, to every human living here today. 
doc#37652	I think once the Christmas traffic has < died down > I will try and setup up a hand-full of high value PPC campaigns that get me £20 or so commission per sale. 
doc#39331	Did the hoo-ha < die down > because of that? 
doc#39452	These changes have helped Bing receive more traffic than Live.com, but will they be enough to keep this growing after the initial buzz, and $100 million advertising campaign, < die down >? 
doc#40151	Once that first surge < dies down >, though, we see the booksellers who are actually looking for something good to read, who want to have conversations about what’s coming out, which ones are our favorites and why. 
doc#40871	But I just may let the madness < die down > first. 
doc#41409	After the shots finally < died down > for good, the campground became a swarm of activity. 
doc#43000	If there's ever going to be a shooting war there's going to be a lot of shells around when the noise < dies down >. 
doc#43451	I apologize for the inconvenience in the long delay between video release and response, just letting the fanboy giddiness < die down > a bit… 
doc#43931	But the matter had < died down > and everyone had gone back to their business. 
doc#47204	I haven't played there for a long time, and the hype about it seems to have < died down > a lot, but " Second Life " and " Kiva " are but a glimpse of what might be to come. 
doc#47516	But when the tension finally < died down >, it was replaced by an almost overwhelming sense of wonder. 
doc#50885	A couple hours later when the noise of the helicopters had < died down > and most of the police had left, they came back. 
doc#55968	Weight reduction and diet has been in the limelight for a long time and shows no signs of < dying down >. 
