doc#30049	In the sixth, Utley < drove >   the      ball   off the wall in center. 
doc#40991	"And he can < drive >   the      ball   to left-center just as well as he can pull the ball out of the park." 
doc#57286	You know even all the guys are < driving >   the      ball   and eighty days -- doing the right thing but these guys see something you can piece -- gone with the package. 
doc#73504	Consistently < drive >   the      ball   longer. 
doc#130198	Even when we < drove >   the      ball   by their too-infrequently-drawn-in infields, they did not understand the strategy. 
doc#157201	"I thought he did not < drive >   the      ball   ," Cosell said. 
doc#172443	It is astonishing that even with a lot of space and gaps provided by the ICC for batboys to < drive >   the      balls   thrown by useless bowlers and unchecked by hopeless fielders, the batboys require the assistance of bowlers and fellow batboys to shine at the crease at other's cost. 
doc#177607	And, while he can drill the ball into the gaps with authority, and he occasionally flashes home-run power, he’s not going to consistently < drive >   the      ball   out of the ballpark. 
doc#213567	W ithout a capable, reasonable thought in my mind I < drive >   the      ball   360 yards straight down the fairway. 
doc#227751	In between goofing off with the parrot club head cover, the fiery singer provides fundamentally sound instructions on < driving >   the      ball   , and you if you watch the entire clip, you’ll see Shakira cruising around in a golf cart, practicing her short game, and most importantly, being stunning and adorable while demonstrating her proficiency in the sport. 
doc#248584	<Driving >   the      ball   is not all only about the technicalities of the drive, it's also about power training your core region which is a known in just about any sport. 
doc#248584	You may perhaps possess perfect form but, when it comes to < driving >   the      ball   further you do need to contentrate on strengthening your center of gravity for much further drives and enhanced accurracy. 
doc#255248	The big thing for Shinskie to prove today was that last week was not a fluke, that he can play at a consistent level, limit mistakes and help the team < drive >   the      ball   . 
doc#255840	Can't < drive >   the      ball   , can't take singles, can't respond quickly to partner's call. 
doc#269712	In contrast, lefties have a better and longer look at the ball, and to my observation, they see pitches that allow them to extend their arms and < drive >   the      ball   . 
doc#296683	He < drove >   the      ball   with authority, allowing him to take on the flags. 
doc#314378	You might often see the "old gang" at the golf course beat the young competitors who < drive >   the      ball   much further. 
doc#329338	Dudek < drove >   the      ball   into the sunny Northwest sky, past lush evergreens and landed about 150 yards down the driving range. 
doc#331331	He’s beginning to < drive >   the      ball   well and hit for power, which is a great sign for the Phillies offense. 
doc#370701	Perfect Game had a look at him as a high school prospect and had good things to say about him: he can < drive >   the      ball   to all fields, he has plus bat-speed, power potential, plus soft hands and a good glove on the defensive end. 
doc#375940	He has wowed scouts with his smooth glove in the infield and his uncanny ability to < drive >   the      ball   from gap-to-gap at the plate. 
doc#386802	Two teams consisting of eleven players will compete in < driving >   the      ball   into the opposing goal. 
doc#432367	Much to her dismay, she finds it physically impossible to < drive >   the      ball   300 yards. 
