doc#147	I hope I shall never < fall in love >." 
doc#209	The Electric was the first place I < fell in love >, too: I was in the back row and she was on the screen. 
doc#210	Hero - woman from Roman legend; her parents compelled her to be a celibate priestess to Venus in Sestos; during a festival, a handsome young man named Leander saw Hero and instantly < fell in love > with her; she also fell in love with him, but they could not marry because of her parents’ objections; in order to meet each night in secret, Leander swam across the Hellespont , guided by the lantern that Hero set in her tower and, in the morning, he returned across the Hellespont; one night when a wind blew out Hero’s lantern, Leander became lost while swimming and drowned; Hero discovered his body on the shore and killed herself by jumping out her tower’s window. 
doc#210	Hero - woman from Roman legend; her parents compelled her to be a celibate priestess to Venus in Sestos; during a festival, a handsome young man named Leander saw Hero and instantly fell in love with her; she also < fell in love > with him, but they could not marry because of her parents’ objections; in order to meet each night in secret, Leander swam across the Hellespont , guided by the lantern that Hero set in her tower and, in the morning, he returned across the Hellespont; one night when a wind blew out Hero’s lantern, Leander became lost while swimming and drowned; Hero discovered his body on the shore and killed herself by jumping out her tower’s window. 
doc#247	In addition to the “precious” friendships he developed in Palo Alto, the diplomat also < fell in love > with one of the area’s great wonders — its weather. 
doc#746	“The world has < fallen in love > with Mary Jane Lamond’s unique singing voice and embraced Gaelic song in the process,” said Minister of Tourism, Culture and Heritage Percy Paris. “She deserves recognition for her talent and the passion she brings to her art.” 
doc#1379	Oberon instructs his servant Puck to bring him magic love drops, which Oberon will sprinkle on the Queen's eyelids as she sleeps, whereupon Titania will < fall in love > with the first creature she sees upon awakening. 
doc#1379	Oberon, overhearing Demetrius's denouncement of Helena, takes pity upon her and tells Puck to place the magic drops upon the eyelids of Demetrius as well, so that Demetrius may < fall in love > with Helena. 
doc#1511	She is constantly < falling in love >. 
doc#1511	its possible to < fall in love > more than once...why limit yourself? 
doc#1511	Yes people < fall in love >, move in or get enagaged and married and at the time it is all sweet and we all think we would never screw over our partner if it didnt work out. 
doc#1548	For ordinary it is that two young princes < fall in love >; after many traverses she is got with child, delivered of a fair boy, he is lost, groweth a man, falleth in love, and is ready to get another child,—and all this in two hours ’ space; which how absurd it is in sense even sense may imagine, and art hath taught, and all ancient examples justified, and at this day the ordinary players in Italy will not err in. 
doc#1707	Debra Lampert-Rudman has a corporate background, but < fell in love > with children's literature while working for one of the country's largest book retailers. 
doc#2482	The flâneurs of the 1920s < fell in love > with Paris with its parks, boulevards and cafés. 
doc#2556	We < fell in love > with the Caxton showhome the minute we saw it, so as soon as we went home that was it, we had decided to self-build again. 
doc#2608	My worry however, is that Joe would < fall in love > and want to get prison married. 
doc#2650	During a cruise through the Pacific last year we < fell in love > with French Polynesia and, in particular, the island of Moorea, so decided to revisit this lovely part of the world. 
doc#2800	The youngest of their kids was Elizabeth McDonald, who < fell in love > during WWII with Lewis White, the son of a self-taught electrician from a tiny town in Indiana. 
doc#2814	Years ago I < fell in love > with the cloud bedding from Nick & Nora when I saw the items featured in an independent movie. 
doc#2940	Abdel is a young Moroccan man whose backstory we learn much more about: the narrator < falls in love > with Abdel during a trip to Morocco, then convinces him to join her in France. 
doc#3703	Certainly the famous Pierre Vidal, the Don Quixote of Provençal troubadours, must have had a touch of this madness, when, after having < fallen in love > with a lady of Carcassone, named Loba, or the Wolfess, the excess 
doc#3759	She has written five books on the evolution and future of human sexuality, monogamy, adultery and divorce, gender differences in the brain, the chemistry of romantic love, and most recently, human personality types and why we < fall in love > with one person rather than another. 
