doc#129	Ah if only florists could develop a flower that < gives off the > scent of oxytocin! 
doc#451	These electrons then interact with a scintillating material, which < gives off light > in the visible spectrum. 
doc#1109	Well, although The Incredible Head < gives off a > great spray, especially in low-pressure situations, the Speakman probably wins in terms of overall delivery and detail. 
doc#1155	Perfect combination of letter symbols "Louis Vuitton" with classical monogram pattern and interesting cartoons make LV bags < give off new > luster and brilliance. 
doc#2049	In addition, gold has no odour, but pyrite < gives off a > sulphurous smell (like rotten eggs). 
doc#2121	The feed breaks down quite rapidly after being thrown into the water and < gives off particles > and some joker, but a majority is buried within the mix and will be released gradually as the current absorbs into mix, or when the fish feed on it. 
doc#2475	When this flow, called the electrojet, hits the atmosphere it causes the air to heat and < give off photons >, visible light, which is what we see in the shimmering auroral displays. 
doc#2475	Heated, the thin air of the ionosphere, a hundred miles or more above our heads, will < give off a > scream of ELF. 
doc#2475	The intense beam from the HAARP array may be able to heat the air sufficiently to force it to < give off photons >, thus painting the sky with selected images. 
doc#3266	The NFL said its offer included splitting the difference in the dispute over how much money owners should be < given off the > top of the league's revenues. 
doc#4188	However, gamma rays, < given off by > the decay of radioactive elements produced in the supernovae, such as titanium, can travel through this dust. 
doc#4947	You will notice more IOI’s are < given off at > this stage, however it is nearly impossible to extract at this point as people have just settled in and are enjoying themselves. 
doc#5725	The comparative energy-efficiency of household fluorescent lamps and HID lamps is made possible because an electric arc converts a tiny amount of mercury in the lamp tube to a gas and the mercury atoms < give off ultraviolet > photons which becomes visible light when the photons hit a phosphor coating on the inside of the tube. 
doc#5936	Parking is a problem but the parish council are working to get a proper car park to < give off street > parking. 
doc#6624	During the course of the entire flare, the released energy would be the same as that < given off by > the simultaneous explosion of several million, 100-megaton hydrogen bombs! 
doc#6805	The nature of the sound < given off by > a slate when tapped with one's knuckles or slating hammer is a fair indication of its condition. 
doc#6805	Severely weathered slates are much less sonorous, and < give off a > dull thud when tapped. 
doc#8125	This pollution is mainly caused by the fumes < given off by > traffic and industry . 
doc#9412	As the lime absorbed the water, heat was < given off. >
doc#9546	The straight, stout, dark brown roots which are < given off from > the under surface of the rhizome are bluntly quadrangular and furrowed. 
doc#11356	As you may have learned in the Color project, objects tend to < give off more > light in certain wavelengths than others. 
doc#11356	Some objects < give off a > lot of red light, where others might give off more ultraviolet or infrared. 
doc#11356	Some objects give off a lot of red light, where others might < give off more > ultraviolet or infrared. 
doc#12686	I feel so sad for my hair, I am giving her a lot of chemicals and it also < gives off this > awful smell. 
doc#13256	No matter is it that we are endowed with bodies from the sphere of matter, for there is nothing, in short, of this with them; and, as they are entirely pure and unmingled essences, they are not deified from our stains, nor is it of any consequence if material exhalations of bodies are < given off around > the earth, for these are the farthest remote from their essence and powers. 
doc#13759	Feel free to use the EL wire as an alternative to an everyday and regular kind of electrical wiring as it is able to < give off light >. 
doc#13759	Others choose to utilize the EL wire from the ordinary cord eventhough it serves exactly the same function yet it’s able to < give off light >. 
doc#14384	I don't remember the make, but it was enclosed in a mock-leather case which < gave off a > most peculiar smell. 
doc#14624	The light it < gave off was >n't much…just enough to show him the way. 
doc#15554	OUT OF THE UNKNOWN : Robin Johnson ( Checkpoint 's Aussie Agent) wants to know if anyone running a con has ever been able to persuade the BBC to let an Out Of The Unknown film be shown -- Robin has been having some trouble: "The Sydney office has been < giving off a > lot of stuff about agreements with Equity or something. 
doc#15767	Court 4 where the custody hearings are held < gives off a > very Dickensian feel. 
doc#16067	This scent, a blend of Fuji apple, peach nectar, tuberose, night blooming jasmine and pheromones < gives off a > flowery, fresh aroma and is geared towards a younger age group. 
doc#16181	He ignored the groan the emissary < gave off. >
doc#16253	Color was never right for me and it < gave off such > weak light for both of us. 
doc#16856	Books also < give off many > visual clues that are helpful to the reader -- general size, one's current position within the whole, locations of bookmarks, location of the illustrations. 
doc#18129	Of all the ways automobiles pollute the air we breathe, the fragrance < given off by > the interior of a new car is probably not the one we should be currently worrying about, especially given recent research linking the particulates in truck exhaust fumes to asthma rates in New York’s South Bronx. 
doc#18233	But not convinced it < gives off the > right feeling. 
doc#18475	Such a wavelength would be < given off of > a sodium vapor lamp. 
doc#18702	Some bleed when cut, even after hundreds of years; others < give off a > heavenly fragrance. 
doc#18702	Included are images that have spoken, that have brought miraculous cures and other special favors, that have helped in construction of Catholic churches, that have shed luminous rays leading to their discovery in hidden places, that have < given off a > celestial fragrance, been suspended in mid- air for over 5 centuries, or that have suddenly and unexplainable become extremely heavy so as to resist being moved from a favored place. 
doc#20215	I think the way we’ve talked about immigration, the way we’ve talked about some of the issues that are important to African-Americans, like affirmative action… I mean, you know, having an absolute holier-than-thou attitude about something that’s important to a particular community doesn’t engender confidence in your leadership by that community—or consideration of you for office or other things—because you’ve already < given off the > vibe that you don’t care. 
doc#21299	Aggressive anti spam filters often < give off false > positives and automatically junk emails that should be considered safe. 
doc#21912	The smell his armpits < give off, > how his mouth tastes of beer, beer and grass, how Rocío’s hand reaches down, how she takes hold of his cock as if it was a creature in its own right, how he looks at her breasts as if they were a picture, how nothing can cross the line from outside, how they find themselves inside one another, seemingly almost by coincidence, something that might happen when the door opens, opens as if opening a book. 
doc#22115	When setting a hot dish on the pad, it will < give off a > pleasant aroma. 
doc#22941	In look, scope, and setting it is very similar to the Pirates franchise — lead actor Ananva Everingham even < gives off a > sort of Orlando Bloom vibe, with all the good and bad that entails. 
doc#24917	Whenever Ms < gives off brand-new > platforms or simply software, MCPs must update their very own qualifications, that helps in order that these types of partners are often kept up on Microsoft company create and that their ow accreditation is up-to-date.This facility attests quite good Windows 7 Professional especially from time to time of doing collection of any third even tool. 
doc#25495	Just thinking about the vibe this girl < gave off puts > me in a bad mood. 
doc#25536	In terms of animals, scientists overwhelmingly interpret the secondary ingredients as chemical weaponry — not attractants — that < give off a > foul taste and an acrid smell to make predators shun them. 
doc#25612	As that pile of transferred wealth grows, it’s most likely to < give off some > income, whether it be interest, dividends, or capital gains within the account. 
doc#28806	And that’s really the vibe that Death Grips are < giving off on > this track, you know — “sorry mate, I can’t do amphetamines at this precise moment, I need to work on my cardio”, which I think is the sort of positive outlook we could all learn from. 
