doc#202	Funding could come from < killing >  the  Star Wars Scam, which is a fraud from start to finish. 
doc#551	Lastly can we < kill >  the  green LED that's always on? 
doc#1808	He also recommended not to use drugs to enhance creativity: ” Drugs < kills >  the  most important thing in you: the power of decision.” 
doc#2505	The Justice Department announced Wednesday that it was suing Apple and five major publishers, charging that the companies had colluded to keep the price of e-books artificially high to < kill >  the  competition. 
doc#2955	And how good it felt to < kill >  the  memory of nights spent holding your shirt from the smell. 
doc#2995	The House of Representatives voted to withdraw all funding and to < kill >  the  project [in 1982]. 
doc#3521	Video will < kill >  the  cumbrous, porous seven layer Internet model just as the rise of voice killed the old best efforts, asynchronous, non-deterministic telegraph network. 
doc#3521	Video will kill the cumbrous, porous seven layer Internet model just as the rise of voice < killed >  the  old best efforts, asynchronous, non-deterministic telegraph network. 
doc#3987	In the end is it right and proper to < kill >  the  message for the song or the song for the message? 
doc#4942	<Kill >  the  process for X, bringing the victim to a blank terminal. 
doc#5050	I've been holding back on a story for nearly a year now, but this whole Freman Hendrix thing -- his attempt to < kill >  the  Cobo deal because it's "not in the best interest" of Detroit -- makes me believe it's time to tell it because the system is so badly broken. 
doc#5359	Palm would be wise to consider a two-pronged attack: A. Have all traditional PDAs running POS & retailing @ $300 or less while < killing >  the  LifeDrive after the 2nd generation version comes out B. Put most of their eggs into the Treo basket while spending some serious $ on R&D and quality control. 
doc#5466	Problem is, private accounts have nothing to do with making SS solvent and they would, in the end, < kill >  the  system. 
