doc#154641	That would < put > the  cost    at  $250. 
doc#277938	In June, a study published in the medical journal Lancet estimated the global number of diabetes had more than doubled in the last three decades and < put > the  figure    at  347 million. 
doc#753679	Others < put > this  figure    at  25%, that's one in every four mothers, and some estimate it to be even higher. 
doc#990514	United Nations  figures   <put > the death toll  at  3,500 since the uprising started in March, with more than 100 civilians killed since Syria accepted the Arab League plan on Nov. 2. 
doc#1038619	Its highest projection < puts > the  number    at  well over a million. 
doc#1683432	One JAMA report < put > the  number    at  10,000 per year that die from illegal drugs, while it is a well-known fact that over 100,000 die per year from physician prescribed, properly prescribed, properly used pharmaceuticals in the U. S. alone! 
doc#1817786	The Central Bank recently < put > the  figure    at  2%, no different from the rate predicted by the IMF last December when it finalised the bail-out agreement. 
doc#1910652	An estimate compiled by exile organizations with the help of Amnesty International < puts > the  number  killed  at  500,000. 
doc#1989599	As a matter of fact, there could not have been no more than about 2.8 million Jews in Poland before the outbreak of the Second World War, yet Benz < puts > their  number    at  3.5 million, thus inventing yet another 700,000 "Holocaust victims". 
doc#2083778	They released an uncountable number of 45's, split 45's, EP's, LP's and CD's, [Although, research < put > the  number    at  6 full-length albums and 19 singles]. "For awhile there," said Mike Sykes, former owner of Milwaukee's Stinky Record Exchange, "it seemed like Boris the Sprinkler were releasing a record every week. 
doc#2385582	  Total  Zone Runs < puts > them defensively  at  a -7. 
doc#2563459	However, in 2009, the National Alliance to End Homelessness < put > the  total    at  656,129, and you know things have only gotten worse since then. 
doc#2792327	Both numbers are in line with Web server market share, according to the U.K.-based Internet measuring company Netcraft Ltd. Its  figures   <put > Apache  at  50% of all servers, IIS at 35.5%. 
doc#2958701	Under the 2006 to 2010 package, Gy$40 million was to be placed into the housing fund annually for the life of the agreement, < putting > the  total  allocation  at  Gy$200 million. 
doc#2967287	The new round < puts > Ngmoco's  total  investments  at  $40.6 million raised over the course of the company's 18-month span of operations. 
doc#3879170	Estimates based on the 2005 "American Community Survey" < put > this  number    at  19,648 with a total of 212,104 gay, lesbian and bisexual people living in NC (increases likely reflect an increase in the willingness to disclose their partnership on government surveys). 
doc#4513747	Current estimates < put > the headline  figure    at  +0.5%m/m for March, which is slightly lower than the prior month's 0.9%m/m increase 
doc#4531959	Estimates < put > the  numbers    at  over 500,000 people - a full 10% of all Israeli Jews in one place. 
doc#4593772	I spent a large part of the 1980s on political demonstrations where the size of the crowd was consistently underestimated in the media. "The size of the crowd at the CND demonstration was estimated at 250,000 by the organisers - official police  figures   <put > the number  at  two dozen". 
doc#4968443	By my  numbers  , this < puts > Alabama  at  the magic 85 for total scholarship players, though I think the Tide might actually be below 85 based on how some of the personnel moves were handled earlier in the week. 
doc#5146735	Officials < put > spectator  numbers    at  28,000 in a circuit that can hold 45,000. 
doc#5166796	Rumours < put > the room  count    at  over 90, including a hospital and an indoor swimming pool. 
doc#5191409	A new report released by Boston Biomedical Consultants, Inc. (BBC) at the AACC Annual Meeting in July found that the in vitro diagnostics market (IVD) grew by 6% from 2008 to 2009, < putting > the  total  worldwide market  at  $42 billion. 
doc#5473187	That stake represents half of the Kim family's $2 billion estimated net worth, < putting > them  at    number  488 on our list of the world's richest people. 
doc#5499506	That < puts > his  total  fat burned  at  42.3 pounds of fat! 
doc#5970387	Instead, I'd put the odds not only at 10:1 against a strong rally happening but I 'd < put > the  odds    at  3:1 that markets will move strongly in the opposite direction. 
doc#8006985	Official state estimates < put > the  cost    at  $11.4 million in the second year after the new drunken driving sentences take effect, increasing to between $18 million and $29 million in subsequent years. 
doc#8512022	One study < put > the  figure    at  4%. 
doc#8803162	Another estimate < puts > the  figure    at  45 billion debits. 
doc#9050885	This report < puts > the  number    at  $900 billion. 
doc#9124106	Many other reliable estimates < put > the  figure  lower,  at  about 550,000-600,00. 
doc#9363113	A quick calculation < puts > the breakeven  cost    at  roughly $800-$900 psf, so we think the selling price might go for around $1,500- $1,600 psf. 
doc#9686993	On Jan. 19, Palestinian Ministry of Health  figures   <put > the number of dead  at  1,314, including 522 women and children, or 39 percent of the total. 
doc#9930439	Much of the region remains unexplored, and more optimistic assessments < put > the  total  number  at  40 billion barrels. 
doc#10175893	Kamal Marouf, the Sudanese armed forces commander < put > the  number  of deaths  at  1200. "The numbers of killed from SPLM are 1,200," AFP quoted Marouf as saying. 
doc#10290160	However according to France24, a labor union estimated the number to 3,5 millions . Later, more than a million people, i.e. 1.1 million, had turned out and joined the protest marches, the government said, while unions < put > the  figure    at  3.5 million nation wide. 
doc#10715160	In actuality, ABC News estimated that between 60,000 and 70,000 people were at the rally. ... Fox News < put > the  number    at  "tens of thousands," a figure echoed by the Wall Street Journal and The Associated Press . 
doc#10848790	Cost estimates in the draft policy < put > the low  cost  option  at  $3.6 million to $4.7 million, and the high cost option at up to $6.7 million. 
doc#11067608	Organisers of today's demo < put > the  number    at  10,000, while the police say it's more like 2,000. 
doc#11334766	Former Defense Secretary Donald Rumsfeld < put > the  number    at  more than 7,000 three weeks after the war began. 
doc#11478508	The part I like most about getting the girls biking is that it < put > my  total    at  17 miles yesterday and 10 today. 
doc#11523096	Among the details in the reports: While, since 2006, 5 percent of the violent sexual assaults have been against men, recent reports now < put > that  figure    at  12 to 14 percent. 
doc#11547291	Police estimated around 250 protesters at the rally, while organisers < put > the  figure    at  500. 
