doc#3976	I am going to < return > the  favor  , unless I am totally submitted to God. 
doc#4602	Lachey confronted Foxx after the Ray star refused to < return > phone  calls  . 
doc#5001	The Pentagon did not < return >  calls  seeking comment, but a military planner, Brig. Gen. Michael Vane, mentioned the cooperation with Israel in a letter to Army magazine in July about the Iraq counter-insurgency campaign. 
doc#6444	Turn off the ringer and set aside time to < return >  calls  later, when you are focused. 
doc#7410	If your opponent is successful at smiling confidently while you make your best points, < return > the  favor  and smile while heâ€™s making his. 
doc#7700	Jackson was struck in the chest by Dickinson‘s shot but < returned >  fire  and killed his opponent. 
doc#7784	Neither representatives of Chamberlain nor its lawyers < returned > repeated  calls  for comment. 
doc#7888	Please bear with me if I can’t < return > the  favor  just yet but I definitely will make it up as soon as I can. 
doc#8337	However although it wasn't long after you left that there was a restriction put on our ability to < return >  fire  . 
doc#8488	I am very thankful for her reference, and would love to < return > the  favor  . 
doc#9294	The user comments are what really helped me, so I thought I would < return > the  favor  , and try to expand on this topic a little bit. 
doc#10183	Maybe you spent a few hours at work catching up on the latest spec instead of < returning > phone  calls  . 
doc#15778	He thought, < returning > the  fire  . 
doc#18128	Bruner < returned >  fire  , thinking the shots might have come from Indians he'd had trouble with. 
doc#18955	Even her publisher, Slave Labor, seemed to have forgotten about her; at least, I couldn’t find anyone there who would < return > my  calls  and tell me where she was. (UPDATE: In the comments to this post, Slave Labor's Editor in Chief Jennifer de Guzman objects to this characterization, and provides some more details about the relationship between Schrag and SLG.) 
doc#18965	If love is given freely as it always should be, there are many rewards far greater than just having it < returned > in  favour  . 
doc#19255	Good information here, I’ve linked for your blog on my blogroll, please < return > the  favour  ! 
doc#19669	Bad Sign: After a promising initial meeting, your agent rarely contacts you and stops < returning >  calls  . 
doc#20731	As soon as two ridges get so close together that the vortex of one can snatch sand from the summit of the other, while that other, from inferiority either of size or position, or both, is incapable of < returning > the  compliment  , thi second one quickly gets swallowed up, and its sand goes to swell its rival These coalitions generally take place at or near the middle of the trough, and they would naturally always do so but that the sand, water, and impulses are never perfectly symmetrical. 
doc#21934	If we are unavailable to take your call, please leave a message with the best times to contact you, and we will < return > your  call  as soon as possible. 
doc#22401	The least you can do is < return > my  calls  . 
doc#22401	-Didn’t < return > their  calls  /messages quickly enough. 
doc#23532	"Anybody who shoots at you from any direction would be immediately located and subject to < return >  fire  ," says Thomas Karr, head of the Lab team. 
doc#24336	During clinic hours Monday through Friday, the triage nurse will < return > your  call  . 
doc#24336	After 5 p.m. or on weekends, an on-call doctor will < return > your  call  . 
doc#24455	That same week both of them < returned > the  call  an d for the time being that ended matters. 
doc#24636	Some of my closer friends (boy, are they saints) even let me get away with ignor­ing the ques­tion and pre­tend­ing like I didn’t hear them/ chang­ing the subject/ work­ing on in sullen silence . I try to < return > the  favor  when they’re hav­ing bad days, though there are days/weeks/months when they/I/we will say– “Ok. 
doc#24833	From answering questions about every conceivable topic to becoming an extra set of eyes or ears, they always make sure I am in the know, and I am only too happy to < return > the  favor  . 
doc#25369	I will < return > your  call  as soon as I can. 
doc#26952	Neither Schimkat nor Estevez < returned >  calls  for comment. 
doc#27188	The endorsement has the aura of a  favor   <returned >. 
doc#27683	After Balanoff sent word through an Obama aide to call him back, Obama < returned > his  call  later that night. 
doc#28760	Understanding the gravity of the situation and his responsibility to his men, Murphy, already wounded, deliberately and unhesitatingly moved from cover into the open where he took and < returned >  fire  while transmitting a call for help for his beleaguered teammates. 
doc#28760	Shot through the back while radioing for help, Murphy completed his transmission while < returning >  fire  . 
doc#29491	And, introverts take a long time to sort out information…and they dread < returning > phone  calls  (that’s me!). 
doc#29993	But he writes so well about so much that I can't < return > the  favor  . 
doc#31059	I was a deer in the headlights and said, ‘Oh...Thanks...well, have a good night...’ and never < returned > another  call  or text.” 
doc#31653	While there is no additional charge for this feature, any outgoing minutes used to < return > a  call  count towards your plan (does not apply to callers with Unlimited plan). 
doc#32964	Would you like to < return > the  favor  ? 
doc#32999	On Valentine’s Day in Japan, women give chocolates to men, who < return > the  favor  a month later, on March 14. 
doc#33662	If you’re a member of the new media, please contact our office directly and a member of the staff will < return > your  call  shortly. 
doc#33739	Using her free hand, she poured us both more coffee. “He always < returns > phone  calls  later in the day when all the assistants and secretaries are gone. 
doc#35252	They always want BJs and oral sex but won’t < return > the  favor  . 
doc#37214	Leave up the post, Patti, because it will remind us to be better than those who judge us, to be tolerant of those who will not tolerate us, to be kind to those who won’t < return > the  favor  when we need some kindness. 
doc#37255	Eaddy did not < return >  calls  yesterday. 
doc#37410	It is alleged that McCready pulled his gun first and Tippen < returned > the  fire  . 
doc#37741	If you would like to, please leave a comment under my “Compadres” page letting me know when you’ve added my link and I’ll < return > the  favor  . 
doc#37810	We stopped and < returned >  fire  , Capt. Wadsworth taking the left side and me the right. 
doc#37810	We continued to < return >  fire  , aiming at the muzzle flashes and firing single shots, as we did not have ammo to waste. 
doc#37810	The ambush party < returned >  fire  and was joined by Cpl. 
