doc#80459	He < took to spiritualism > and became a mystic saint. 
doc#1254910	God forbid that India should ever < take to industrialism > after the manner of the west... keeping the world in chains. 
doc#1938194	Yet he and others < took to heliocentrism > anyway. 
doc#1978241	How did they < take to capitalism > after the fall of communism? 
doc#2004932	- as noted earlier, some white farmers had < taken to pastoralism > as their main economic activity about the beginning of the 18th C. They had developed the tradition that if they needed more or better land, moving farther was the way to acquire it. 
doc#2173777	No matter what route is < taken to anarchism >, peaceful evangelism or other, the end result will be a society devoid of central authority, and with an AP system in existence, due to simple profit motive. 
doc#2298695	A small section of India’s Muslims—homegrown jihadists—has < taken to terrorism > and has acquired international links in recent times. 
doc#2303572	He'd < taken to voyeurism > very quickly and Anya was glad for that. 
doc#2417337	Trash lines and clutters the streets; sewage runs into the lake nearby; it seems that most of the men of Granada have < taken to alcoholism > or drugs; women and children are left unloved, uncared for and unfathered; and few seem to take notice. 
doc#2768975	When woman < take to alcoholism > due to factors like dear one’s demise, sexual or physical abuse, mental problems, overcoming trauma, she is actually risking her life. 
doc#3071096	Modern day visitors have < taken to vandalism > by etching their names on the mirror wall, sometimes even on top of the old etchings. 
doc#3345898	He < took to journalism >, and from 1914 to 1917 wrote mainly for the Socialist Newspaper Avanti on a wide variety of topics. 
doc#3767265	A 'Clydeside Worker', writing in War Commentary in 1943, observed how state power and an anti-statist opposition could grow hand-in-hand: 'in the atmosphere of Political Dictatorship, such as prevails today, with all its trappings, regional Gauleiters, total negation of representation, total conscription of labour, with their resultant starvation wages, the Clydeside worker is < taking to Anarchism >, the road to freedom, just like water fills the hollows of a plain'. 35 On the integration of trade unions into the state, Eddie Fenwick of the Glasgow Group argued that the anti-strike position adopted by the unions had undermined their traditional hold over the working class: 
doc#4274979	And that is a very, very personal reaction which many people < took to terrorism >, and this is very harmful of course to the democratic fabric of society. 
doc#4302349	You see, somehow while stuck in the crap camp, Charlie Bukowski ( John Morghen , really Giovanni Lombardo Radice ) and Tom Thompson ( Tony King , who is now a Christian Minister!) have < taken to cannibalism > like I have "taken" to obscure references and lame sex jokes. 
doc#4378624	It could have been by the advent of Budhism in India that the Brahmins < took to vegetarianism >. 
doc#4576905	“It took me some time to work out what kind of a movement the FWBO in Europe is, because these were white intellectual people who < took to Buddhism > for reasons that I could not really understand. 
doc#4880521	Shiva quotes Gandhi who said “God forbid that India should ever < take to industrialism > after the manner of the West. [..] 
doc#5305047	But the movie depicts him as a married man with two children, and that he < took to Buddhism > on the way to China. 
doc#5500608	Various experts speak about how poverty, lack of education and cultural differences—“they hate our freedoms and our way of life”—are the reasons why young people < take to terrorism >. 
