doc#25 	Will the last one to leave the homo nups office please < turn > out the lights? 
doc#46395	Click on “ <Turn >  on  everyone’s video” and “Unmute everyone’s audio” 
doc#81297	Lots of guys do not do well with crying women (funny aside—while I’m typing this Denis Leary just tweeted about studies showing that women crying < turns > men  off  —see?) but Brad handled this like a pro—an admirable blend of patience, concern and sympathy. 
doc#245020	Environment and sustainability committee chair Helen Abrahams said the decision to < turn >  down  pressure was taken because most mains burst at night. 
doc#268497	<Turn > the mixer  on  medium speed. 
doc#302703	Or to < turn > the power  down  – five-watt base stations do seem a little excessive to cover the length of a football pitch – especially given they can be heard as far as Hanger Lane (yes, I’ve checked)! 
doc#339914	You can also < turn >  off  the sound effects each circle makes, and the speaking of the numbers. 
doc#371474	It’s ‘cause growing up I really had God shoved down my throat and it < turned > me  off  like I can’t even begin to tell you. 
doc#373317	With the digital switch over coming up, it won’t be a long time before the terrestrial transmission will be < turned >  off  completely, whether it has not been already. 
doc#448776	This will < turn >  off  the outside heat pump mode and use the indoor unit for heat. 
doc#454664	<Turning > it  off  disables all of the related controls, turning it on enables the controls. 
doc#464601	Again, my cat studied my behavior and figured out that the large chrome handle would < turn >  on  the water. 
doc#529233	My wife needs to be able to just < turn > the tv  on  , and it should work, and not have to mess with a keyboard or a mouse, it should never look like a pc or work like a pc, it needs to run as much like a set top box as possible. 
doc#682873	Oh My Tech: How to play Facebook games on your tablet If you < turn > it on, it keeps your desktop as a server at home that make your mobile device is connected and allows you to operate your remote desktop . You can then access your web turn browser  on  your computer and play Facebook games. 
doc#795856	The flash, AF auxiliary light, and beep speaker < turn >  off  to avoid frightening animal subjects, allowing you to capture the expression of your favorite pet without being unkind. 
doc#941263	Abhishek < turns >  on  his charm and launches himself into the Q & A session. 
doc#1082327	Voters were < turned >  off  by the Timberwolves poor record, but they’re improving. 
doc#1204750	Bad lessons can very quickly < turn > your child  off  to the arts. 
doc#1246467	<Turn >  off  the heat, add the cream; mix well. 
doc#6361 	"This is very distracting," I said to M after we < turned > out the lights last night and I had a chance to see what was being projected on the insides of my eyelids, "I hope these movies of pod-racing tracks stop soon." 
doc#1284004	Rounding out the watch, you’ve got water resistance to 100 meters, EL backlighting (which can < turn >  on  as soon as you tip the watch to look at the time), and a 47mm resin case and 21mm band. 
doc#1301242	I really get < turned >  on  when I hear a man belch or burp. 
doc#1388104	Whenever a guy acts like they can be God’s present to ladies, it is actually a significant < turn >  off  . 
doc#1390744	With a temperature control and timer, you won’t have to worry about forgetting to < turn > it  off  . 
doc#1396910	So Samsung, listen me out… The network interference problems have to get resolved and Netflix needs to be updated so it plainly rebuffed rather of < turning >  off  the TV. whether or not this happens, I’ll be a happy camper. 
doc#1446046	Wait for the device to < turn >  off  after a couple of seconds. 
doc#1582416	<Turn > the oven  on  to 375 degrees. 
doc#1947865	Dancing - Put in a cd or < turn >  on  the radio and get them dancing. 
doc#41178 	They < turned > the lights out where we were sitting. 
doc#2137383	Then < turn > the heat  down  to low or semi-low, cover and let it cook for several hours. 
doc#2180064	Our parents often had to come in and tell us to < turn > the light  off  , haha. 
doc#2215735	With Monnit WIT Wireless Water Sensors you can have 24/7 monitoring of your boat or watercraft and avoid water damage and possible submersion by receiving real time alerts via SMS text or email if water levels reach a certain point and the bilge pump has not < turned >  on  . 
doc#2217966	If you are only stopping for a brief moment or less than 5 minutes then don’t < turn >  off  your car because the amount of gas used to crank up is more than you would burn in that short period of time. 
doc#2287998	Feed Your Soul And Enhance Your Power With The Foods You Eat (learn how you can < turn >  up  the dial of your powers by the foods you eat!) 
doc#2554918	The swing light exaggerates the familiar rope-switch light to emphasize the action of what we are doing when we < turn >  on  light, channeling electricity from far-off power sources. 
doc#2662696	But sometimes, I just < turn > my brain  off  and lock myself in the bathroom. 
doc#2856097	Learn to be honest with joke another upon what < turns > you  on  and what turns you off. 
doc#2900407	<Turn >  on  the blow dryer and heat a portion with the window tint. 
doc#66920 	Duffee remained in control of his senses for all of 19 seconds before Alistair Overeem found the button and < turned > the lights out .
doc#3348577	The first is a thumbnail flash when pressed will < turn >  off  the flash and vice versa. 
doc#3886952	A simple way of testing the efficacy of white noise against tinnitus, is to < turn >  on  a fan. 
doc#4115020	If you do, you’re taking a major risk of < turning >  off  your date and spoiling your chances of ever getting a second date. 
doc#4174319	D. It permits the cell to < turn >  on  only as many chloroplasts as are needed at a time. 4. 
doc#4183294	You can then < turn >  on  the appropriate layers. 
doc#4267050	Or perhaps you’re a casual gamer, < turning >  on  your Xbox/PS3 every now and then. 
doc#4274030	At one point it got so bad I just finally < turned >  off  comments on the post and the flood stopped. 
doc#4382072	For a sticky alarm, this method must be called to < turn >  off  its ringing state. 
doc#4383012	From the Sydney Opera House to the Colosseum to the Vegas Strip, landmarks on every continent took part in Earth Hour, < turning >  off  all lights for an hour to draw attention to the need for climate change." 
doc#4388240	on - whether to < turn > method tracing  on 
doc#4394275	Larger apples tend to have more cells than their smaller counterparts, so Hirst theorized that there was a gene or genes that kept cell division < turned >  on  in Grand Gala. 
doc#4413090	For a very long time it would only hold a charge for an hour or so, then it stopped < turning >  on  . 2nd gen Ipod Touch has a white screen . Reacts to touch still just gets whiter as if the backlight is triggered, which would be normal operation. 
doc#4490312	Once they understand how much you spend on hydro each month, they may actually learn to < turn > the lights  off  when they leave the room! 
doc#4515329	To me, what this all seems to boil down to is that women who aren’t < turned >  on  by naked bodies don’t want men to be turned on by naked bodies either. 
doc#4596520	When you get used to the new, lower temperature, < turn > it  down  another degree or two! 
doc#4828356	You love mutual masturbation and enjoy a little punishment, and your grace and modesty is a great < turn >  on  . 
doc#4867155	My problems with it are not the cluttered interface, which is overrun with crap like ads, games, and other useless widgets that you can’t < turn >  off  or hide. 
